title,type,equipment,muscle_group,description,difficulty
Barbell Bench Press,Strength,Barbell,Chest,Lay on a flat bench and press the barbell upward until arms are fully extended.,Intermediate
Dumbbell Bench Press,Strength,Dumbbell,Chest,Lay on a bench and press dumbbells upward with palms facing forward.,Beginner
Incline Barbell Bench Press,Strength,Barbell,Chest,Use an incline bench to press the barbell upward for upper chest activation.,Intermediate
Incline Dumbbell Press,Strength,Dumbbell,Chest,Press dumbbells upward from an incline bench to target upper chest.,Beginner
Decline Barbell Bench Press,Strength,Barbell,Chest,Press the barbell upward from a decline bench to target lower chest.,Intermediate
Decline Dumbbell Press,Strength,Dumbbell,Chest,Press dumbbells upward from a decline bench for lower chest focus.,Beginner
Push-Ups,Strength,Bodyweight,Chest,Keep body straight and push up from the floor until arms are extended.,Beginner
Wide-Grip Push-Ups,Strength,Bodyweight,Chest,Perform push-ups with a wider hand placement to target outer chest.,Beginner
Chest Fly (Dumbbell),Strength,Dumbbell,Chest,Lower dumbbells outward and bring them back together in a fly motion.,Intermediate
Pec Deck Machine,Strength,Machine,Chest,Sit at the pec deck and bring arms together in a hugging motion.,Beginner
Cable Crossover,Strength,Cable,Chest,"Pull cables across the chest with arms slightly bent, crossing hands.",Intermediate
Resistance Band Chest Press,Strength,Resistance Band,Chest,Anchor band and press forward like a bench press.,Beginner
Isometric Chest Squeeze,Strength,Bodyweight,Chest,Press palms together firmly in front of chest to contract muscles.,Beginner
Machine Chest Press,Strength,Machine,Chest,Press handles forward on a machine to target chest muscles.,Beginner
Smith Machine Bench Press,Strength,Machine,Chest,Perform bench press on a smith machine for guided motion.,Intermediate
Incline Push-Ups,Strength,Bodyweight,Chest,Place hands elevated and push up to reduce difficulty.,Beginner
Medicine Ball Push-Ups,Strength,Medicine Ball,Chest,Perform push-ups with hands on a medicine ball for stability challenge.,Intermediate
One-Arm Dumbbell Press,Strength,Dumbbell,Chest,Press one dumbbell upward while lying flat for unilateral strength.,Intermediate
Close-Grip Bench Press,Strength,Barbell,Chest,Press barbell upward with close grip to target triceps and chest.,Intermediate
Svend Press,Strength,Plate,Chest,Hold plate between hands at chest and press forward.,Beginner
Pull-Ups,Strength,Bodyweight,Back,Hang from a bar and pull chin above the bar.,Intermediate
Chin-Ups,Strength,Bodyweight,Back,Perform pull-ups with underhand grip for biceps and back.,Intermediate
Neutral Grip Pull-Ups,Strength,Bodyweight,Back,Pull up using parallel bars for neutral grip.,Intermediate
Lat Pulldown (Wide Grip),Strength,Machine,Back,Pull bar down from overhead to chest with wide grip.,Beginner
Lat Pulldown (Close Grip),Strength,Machine,Back,Pull bar down with close grip to target inner lats.,Beginner
Barbell Bent-Over Rows,Strength,Barbell,Back,Bend forward and row barbell to waist.,Intermediate
Dumbbell Bent-Over Rows,Strength,Dumbbell,Back,Row dumbbells to waist while bent forward.,Beginner
Seated Cable Rows,Strength,Cable,Back,Sit at cable machine and pull handle to torso.,Beginner
T-Bar Rows,Strength,Barbell,Back,Row barbell with V-handle to midsection.,Intermediate
Inverted Rows,Strength,Bodyweight,Back,Pull chest to bar while lying under it.,Beginner
Deadlift (Conventional),Strength,Barbell,Back,Stand and lift barbell from floor to hips with straight back.,Advanced
Romanian Deadlift,Strength,Barbell,Back,"Lower barbell to shins with straight legs and back, then rise.",Intermediate
Rack Pulls,Strength,Barbell,Back,Perform partial deadlift from rack starting height.,Intermediate
Good Mornings,Strength,Barbell,Back,Hinge forward with barbell on shoulders to stretch hamstrings and back.,Advanced
Resistance Band Rows,Strength,Resistance Band,Back,Row resistance bands toward torso.,Beginner
Renegade Rows,Strength,Dumbbell,Back,Hold plank while rowing dumbbell to chest.,Intermediate
Machine Low Row,Strength,Machine,Back,Sit and pull machine handles back to torso.,Beginner
Kroc Rows,Strength,Dumbbell,Back,Perform heavy dumbbell row with high reps.,Advanced
Pullovers,Strength,Dumbbell,Back,Lay on bench and extend dumbbell behind head then pull forward.,Intermediate
Yates Row,Strength,Barbell,Back,Perform row with underhand grip for lower lats.,Intermediate
Barbell Squat,Strength,Barbell,Legs,Place barbell across shoulders and squat until thighs are parallel then rise.,Intermediate
Front Squat,Strength,Barbell,Legs,Hold barbell across front shoulders and squat down keeping torso upright.,Advanced
Dumbbell Squat,Strength,Dumbbell,Legs,Hold dumbbells at sides and squat until thighs are parallel.,Beginner
Bodyweight Squat,Strength,Bodyweight,Legs,Stand with feet shoulder-width apart and squat down keeping back straight.,Beginner
Walking Lunges,Strength,Bodyweight,Legs,Step forward into a lunge and alternate legs.,Beginner
Dumbbell Lunges,Strength,Dumbbell,Legs,Step into lunges holding dumbbells at sides.,Beginner
Bulgarian Split Squats,Strength,Dumbbell,Legs,Place one foot on a bench and lunge with the front leg while holding dumbbells.,Intermediate
Step-Ups,Strength,Dumbbell,Legs,Step onto a raised platform with one leg while holding dumbbells.,Beginner
Leg Press,Strength,Machine,Legs,Press weight platform away with legs until extended then return slowly.,Beginner
Hack Squat,Strength,Machine,Legs,Use machine to squat with guided movement.,Intermediate
Leg Extension,Strength,Machine,Legs,Sit on machine and extend legs against resistance.,Beginner
Leg Curl (Seated),Strength,Machine,Legs,Sit on machine and curl legs backward against resistance.,Beginner
Leg Curl (Lying),Strength,Machine,Legs,Lay face down and curl legs upward against resistance.,Beginner
